agent,title,date,url,attachment_url,attachment_name,attachment_webfile_id,attachment_times
1035,关于我校2011年元旦节放假期间教学安排调整的通知-福州大学教务处,2010-12-20,https://jwch.fzu.edu.cn/info/1035/7484.htm,,,,
1035,关于部分《马克思主义基本原理》课程调整及补课的通知-福州大学教务处,2010-12-14,https://jwch.fzu.edu.cn/info/1035/7481.htm,,,,
1035,关于成立福州大学“卓越工程师教育培养计划”领导小组的通知-福州大学教务处,2010-09-27,https://jwch.fzu.edu.cn/info/1035/7480.htm,,,,
1035,关于校选课《人生哲学》等校选课调整教室及时间的有关通知-福州大学教务处,2010-09-17,https://jwch.fzu.edu.cn/info/1035/7479.htm,,,,
1035,关于我校2010年中秋节、国庆节放假期间教学安排调整的通知-福州大学教务处,2010-09-13,https://jwch.fzu.edu.cn/info/1035/7478.htm,,,,
1035,关于2010-2011学年第一学期校选课第二周（本周六）开课的通知-福州大学教务处,2010-09-09,https://jwch.fzu.edu.cn/info/1035/7476.htm,,,,
1035,关于取消校选课《妇女权益保障法》的通知-福州大学教务处,2010-09-08,https://jwch.fzu.edu.cn/info/1035/7474.htm,,,,
1035,关于2010全国大学生数学建模竞赛指定地点的通知-福州大学教务处,2010-09-07,https://jwch.fzu.edu.cn/info/1035/7472.htm,,,,
1035,关于2010-2011学年第一学期跨院（系）、跨学科选修课（校选课）选课须知-福州大学教务处,2010-08-28,https://jwch.fzu.edu.cn/info/1035/7471.htm,,,,
1035,我校获2010年度福建省本科教育人才培养模式创新实验区项目两项-福州大学教务处,2010-08-16,https://jwch.fzu.edu.cn/info/1035/7468.htm,,,,
1035,关于做好福州大学2010-2011学年第一学期排课准备工作的通知-福州大学教务处,2010-03-29,https://jwch.fzu.edu.cn/info/1035/7466.htm,,,,
1035,关于全国大学英语四六级考试补拍照片的通知-福州大学教务处,2010-03-26,https://jwch.fzu.edu.cn/info/1035/7464.htm,,,,
1035,关于福州大学“大学生第二课堂创业实践课”的通知-福州大学教务处,2010-03-19,https://jwch.fzu.edu.cn/info/1035/7462.htm,,,,
1035,关于做好2010届本科生毕业设计（论文）工作的通知-福州大学教务处,2010-03-19,https://jwch.fzu.edu.cn/info/1035/7460.htm,,,,
1035,关于09级学生体育理论课程上课地点变更补充通知-福州大学教务处,2010-03-17,https://jwch.fzu.edu.cn/info/1035/7458.htm,,,,
1035,我校获2009年度福建省本科教育人才培养模式创新实验区项目五项-福州大学教务处,2010-03-05,https://jwch.fzu.edu.cn/info/1035/7456.htm,,,,
1035,关于印发《福州大学本科教学优秀奖评选奖励办法》的通知-福州大学教务处,2010-01-26,https://jwch.fzu.edu.cn/info/1035/7454.htm,,,,
1035,关于2010届预计毕业生上网核对电子注册照片的通知-福州大学教务处,2010-01-21,https://jwch.fzu.edu.cn/info/1035/7452.htm,,,,
1035,关于《马克思主义基本原理》监考安排的通知-福州大学教务处,2009-12-25,https://jwch.fzu.edu.cn/info/1035/7531.htm,,,,
1035,关于核对2009下排课冲突数据的通知-福州大学教务处,2009-12-23,https://jwch.fzu.edu.cn/info/1035/7529.htm,,,,
1035,喜讯：我校获得福建省高校“福建师大网络教育杯”网络课程与多媒体课件大赛多个奖项-福州大学教务处,2009-12-17,https://jwch.fzu.edu.cn/info/1035/7528.htm,,,,
1035,喜讯：我校《结构化学》被评为2009年度国家精品课程-福州大学教务处,2009-12-14,https://jwch.fzu.edu.cn/info/1035/7527.htm,,,,
1035,关于《机械制造工程训练》《电气工程实践》课程安排的通知-福州大学教务处,2009-12-04,https://jwch.fzu.edu.cn/info/1035/7526.htm,,,,
1035,关于组织申报2009-2010学年第二学期全校性公共选修课的通知-福州大学教务处,2009-11-30,https://jwch.fzu.edu.cn/info/1035/7524.htm,,,,
1035,关于下拨2009年省教育厅质量工程专项经费的通知-福州大学教务处,2009-09-30,https://jwch.fzu.edu.cn/info/1035/7522.htm,,,,
1035,关于2005级应届毕业生双学位选课缴费的通知-福州大学教务处,2009-09-25,https://jwch.fzu.edu.cn/info/1035/7520.htm,,,,
1035,关于2006级综合班学生回各有关专业进硕士推免生复试的通知-福州大学教务处,2009-09-23,https://jwch.fzu.edu.cn/info/1035/7518.htm,,,,
1035,关于2009-2010校选课新增课程并开通选课的通知-福州大学教务处,2009-09-21,https://jwch.fzu.edu.cn/info/1035/7516.htm,,,,
1035,关于发放2009年度本科教学奖励奖金的通知-福州大学教务处,2009-09-04,https://jwch.fzu.edu.cn/info/1035/7514.htm,,,,
1035,关于2009级应届毕业生双学位选课的通知-福州大学教务处,2009-09-01,https://jwch.fzu.edu.cn/info/1035/7511.htm,,,,
1035,关于公布福州大学2008—2009学年教学优秀奖获奖名单的通知-福州大学教务处,2009-08-30,https://jwch.fzu.edu.cn/info/1035/7506.htm,,,,
1035,关于开展2009级基础综合班招生工作的通知-福州大学教务处,2009-08-30,https://jwch.fzu.edu.cn/info/1035/7508.htm,,,,
